UO;username
26352;ufabc
26275;ufac_oficial
26231;ufaloficial
26270;ufam__
26456;ufape.oficial
26232;ufbaempauta
26233;ufcinforma
26449;ufcaoficial
26452;ufcatalao
26252;ufcg_oficial
26284;ufcspaoficial
26455;ufdpar.br
26264;ufersa
26234;ufesoficial
26236;uffoficial
26440;escolhiseruffs
26235;ufg_oficial
26350;ufgdoficial
26453;ufj.oficial
26237;ufjf
26263;uflabr
26272;ufmaoficial
26238;ufmg
26283;ufmsoficial
26276;ufmt.br
26457;ufnt.oficial
26447;ufoboficial
26277;minhaufop
26441;ufopaoficial
26239;ufpa_oficial
26240;ufpb.oficial
26242;ufpe.oficial
26278;ufpeloficial
26279;ufpi
26241;ufpr_oficial
26454;ufr.edu.br
26253;ufraoficial
26351;ufrb_edu
26244;ufrgsnoticias
26245;ufrj.oficial
26243;ufrn.br
26248;ufrpe
26250;ufrroficial
26249;universidadefederalrural
26281;ufsoficial
26450;ufsb_oficial
26246;universidadeufsc
26280;ufscaroficial
26285;ufsjbr
26247;ufsm.br
26251;uftoficial
26254;uftmsocial
26274;ufu_oficial
26282;ufvbroficial
26255;ufvjmoficial
26271;unb_oficial
26260;unifalmg
26286;unifapoficial
26261;unifei_oficial
26262;unifespoficial
26448;unifesspa
26267;instaunila
26442;unilab.oficial
26266;teliganaunipampa
26268;unir.rondonia
26269;unirio_oficial
26230;univasf
26258;utfpr_
26101;mineducacao
